1,"Thadh er fullkomlega sidhlaust adh gera fikniefni adh markadhsvoru Vidh eigum adh afglaepavaedha fikniefni og lita a fikn sem heilbrigdhisvandamal en thadh aetti ekki adh leyfa neinum adh graedha a thvi adh selja fikniefni Thadh vaeri haegt adh selja thadh i apoteki a kostnadharverdhi thannig adh fiklar og their sem myndu kjosa adh nota thessi efni gaeti fengidh thau hrein og orugg"
1,"I stadh thess adh stunda meiri kostningar sem myndu hvort edh er liklega valda enn meiri politik vardhandi RUV thar sem utvarpsradh og utvarpsstjori vaeru opinberlega politisk og thyrftu adh vera medh kostningaherferdhir tha aetti adh leggja rikisfjolmidhlana nidhur nema kannski fyrir neydharutsendingar Vidh blaedhum nu thegar fullt af peningum i rikisrekna dagskra sem er adh miklu leiti leidhinleg og vidh neydhust til adh greidha fyrir"
1,"Eg maeli frekar medh thvi adh hringtorgidh verdhi staekkadh og tha haegt adh hafa lengra a milli afreina tha komast lika fleiri bilar fyrir i hringtorginu og bil a milli theirra lengist"
1,"Mer finnst thadh kjanalegt adh stadhsetja spitala a svaedhidh vidh Raudhavatn tho adh aetlunin se adh veita sjukrabilum sem eru adh koma fra svaedhum fyrir utan hofudhborgarsvaedhidh greidhari og styttri adhgang adh naesta spitala i stadhinn fyrir adh fara alla leidh adh spitalanum i fossvogi En hvadh finnst ykkur?"
1,"Thadh er nog komidh af leikvollum i Vesturbaenum margir theirra i nidhurnyslu og vaeri naer adh lappa upp a tha en adh baeta vidh Tha hafa hundaeigendur ekki um morg svaedhi adh velja vilji their leyfa hundum sinum adh hreyfa sig olarlausa og umgangast adhra hudna Krakkar sem gjarnar eru hluti af theim sem nyta hundatunidh geta ekki keyrt um langan veg til adh leika vidh hundana i boltaleik edha leyfa theim adh hlaupa lausum medh odhrum hundum Thetta er illa igrundadh og skerdhidh rett hundaeigenda"
0,"Straetoskylidh er mikidh notadh af nemendum i nagrenninu t d ur FA og milli 10 11 i Lagmula og isbudharinnar og bakarisins i Midhbae og adh Olis eru engar ruslafotur Nokkudh mikidh er af rusli vidh gotuna allan arsins hring sem er liti a annars fallegri gotu thar sem umgengni er heilt yfir thokkaleg Ruslatunna vidh thetta straetoskyli gaeti minnkadh ruslidh a svaedhinu"
0,"I skipulagi fra 1962 var aherslan a greidha leidh akandi um borgina Eftir sitja breidhar tengibrautir i ibudharhverfum Hofsvallagata Skeidharvogur Haaleitisbraut og Rettarholtsvegur svo daemi seu nefnd Thessar gotur skera sundur hverfin Til adh koma i veg fyrir hradhakstur hafa veridh settar hindranir Thetta eru adhalleidhir straetisvagna um hverfin og mikilvaegt adh gera thaer thaegilegri fyrir farthega taka burtu thufurnar og takmarka umferdh medh odhrum leidhum Straetisvagnarnir halda ekki uppi hradhakstri"
0,"folk hugsar ekki um heilsuna thegar theim finnst liggja a adh taema kerru og adhrir bilar bidha i rodh eftir thvi svo maetti selja grimur tharna edha hafa tuskur til taks adh binda um vit luxus lausn vaeri skjar vidh gaminn medh myndskeidhum um rett vinnubrogdh og heilsuvidhvorun og krani og slanga vidh gam thadh er til forstfritt kerfi sem opnar fyrir nedhanjardhar nedhan frosts og taemir sig eftir notkun einfaldara vaeri adh taemd slanga vaeri tengd inni i starfsmannaskur edha hafa spes kranaskur en vatnsfotur nog"
0,"A gatnamotum vidh badha enda Haedhargardhs i Reykjavik eru hradhahindranir Gatan hallar allnokkudh upp adh thessum hindrunum Thadh sem eg by vidh annan enda gotunnar verdh eg vitni adh vandraedhum fjolda okumanna sem ekki komast yfir hindrunina vegna halku myndast oft radhir bila sem mistholinmodhir bidha Eg fae ekki medh nokkru moti sedh tilgang thessarra tveggja hindrana vidh thaer badhar eru adhrar hindranir sem draga ur hradha an thess adh valda vandraedhum i halku Fer eg thess a leit adh thaer verdhi fjarlaegdhar"
0,"I tengslum vidh fyrirhugadhar framkvaemdir vidh Haskolasjukrahus tharf adh endurskodha oll samgongumal i Reykjavik I midhborg Reykjavikur starfa thegar tveir staerstu haskolar landsins stjornsyslan sjukrahus asamt fjolmorgum odhrum stofnunum skolum og fyrirtaekjum Mikilvaegt er adh skapa heildraena lausn til frambudhar til og fra midhborginni og setja stofnbrautir i stokk eins og gert er vidha erlendis Klukkustundirnar sem Reykvikingar verja i umferdhinni daglega eru ekki haegt adh rettlaeta medh neinum haetti"
